S No.,Paper Name,Authors,Key Idea + Method Used,Contribution,Research Gap,Relation to Your Work,Citation
11,DynaFuse: Dynamic Fusion for Resource Efficient Multi-modal Machine Learning Inference,"Hamidreza Alikhani, Anil Kanduri, Pasi Liljeberg, Amir M. Rahmani, Nikil Dutt",DynaFuse combines design-time intrinsic value (from training) with run-time extrinsic value (input data quality + sensor energy budgets) to compute updated modality weights at inference. Applied to human activity recognition and stress monitoring with wearable sensor modalities.,Achieves up to 22% prediction accuracy gain and 34% average energy savings over static fusion approaches by dynamically deprioritising noisy or low-battery modalities at run time; first framework to jointly optimise accuracy and energy in MMML inference.,Run-time modality quality is defined by sensor noise and battery levels — not by semantic content; no mechanism for cross-modal semantic alignment or adversarial incongruence between modalities; not applicable to text-image classification.,"Demonstrates that static modality weight assignment is suboptimal when modality reliability varies per sample — the core motivation for your learned, input-dependent alpha gating in AdaptiveFusionModelV3.","Alikhani H., Kanduri A., Liljeberg P., Rahmani A.M., Dutt N. (2023). DynaFuse: Dynamic Fusion for Resource Efficient Multi-modal Machine Learning Inference. University of California Irvine / University of Turku, IEEE."
12,Dynamic Multimodal Fusion (DynMM),"Zihui Xue, Radu Marculescu","DynMM generates data-dependent forward paths during inference via a gating function that makes modality-level or fusion-level on-the-fly decisions. A resource-aware loss encourages computational efficiency. For easy samples, unneeded modality paths are skipped; for hard samples, all paths activate.",Proposes a new direction for dynamic multimodal networks; reduces computation by 46.5% on CMU-MOSEI with negligible accuracy loss and improves NYU Depth V2 segmentation with 21% compute savings; demonstrates instance-wise inference is both efficient and expressive.,"Gating decisions are coarse (modality-level on/off), not a continuous learned weighting; the resource-aware loss is specific to compute budgets and does not optimise for adversarial or imbalanced classification tasks.","DynMM's core insight — that different inputs require different modality emphasis — is the philosophical foundation of your dynamic alpha gating. Your model extends this to a continuous, differentiable weighting rather than binary on/off gating.","Xue Z., Marculescu R. (2023). Dynamic Multimodal Fusion. arXiv:2204.00102v2. University of Texas at Austin."
13,Dynamic Re-weighting for Long-tailed Semi-supervised Learning,"Hanyu Peng, Weiguo Pian, Mingming Sun, Ping Li",Extends FixMatch SSL to imbalanced (long-tailed) settings by proposing dynamic re-weighting of unlabeled data based on effective number and temporal variation in pseudo-label counts. The weighting adapts each epoch as pseudo-label distributions shift during training.,First SSL method to apply dynamic re-weighting to unlabeled data in long-tailed settings; provides SOTA on CIFAR-10/100 and ImageNet127 under various imbalance ratios; demonstrates that dynamic (vs. static) weighting significantly improves minority class accuracy (WACV 2023).,"Specific to SSL with pseudo-labels; imbalance is class-level (head vs. tail), not modality-level; not applicable to multimodal fusion or adversarial content detection with a small labelled dataset.",Provides motivation for treating the binary hateful/benign class imbalance in Hateful Memes via dynamic (focal) loss weighting rather than static class weights — conceptually aligned with the adaptive weighting used in your FocalLoss with alpha=0.75.,"Peng H., Pian W., Sun M., Li P. (2023). Dynamic Re-weighting for Long-tailed Semi-supervised Learning. WACV 2023, IEEE. Baidu Research. DOI: 10.1109/WACV56688.2023.00640."
14,Dynamic Weighted Multimodal Financial Forecasting Models: Fusion Strategies and Market Validation (DWMF),Dazhi Yue,"DWMF uses an attention-based dynamic weight allocation module to quantify real-time contributions from financial modalities (market volatility, investor sentiment, macroeconomic events). GRUs capture cross-modal temporal dependencies; adversarial training enhances robustness. Validated on CSI 300 and S&P 500.",Reduces average prediction error by 25.4% and improves Sharpe ratio by 38.5% over static fusion and single-modal baselines; identifies a coupling effect between pricing efficiency and volatility suppression; demonstrates cross-market scalability of the modular dynamic weighting framework.,"Financial time-series domain; dynamic weighting is attention-driven at the token/time-step level, not a learned scalar gating over distinct semantic modalities; temporal dynamics do not correspond to the spatial/semantic incongruence challenge in meme content.","Demonstrates the broad applicability of attention-based dynamic weight allocation for multi-modal fusion, validating the general architectural approach; adversarial training for robustness parallels R-Drop regularisation used in your training pipeline.","Yue D. (2024). Dynamic Weighted Multimodal Financial Forecasting Models: Fusion Strategies and Market Validation. Xiamen Institute of Technology, IEEE."
15,Dynamical Reweighting for Biased Rare Event Simulations,"Bettina G. Keller, Peter G. Bolhuis","Reviews theoretical frameworks for recovering correct molecular dynamics from biased (enhanced-sampling) simulations. Covers two-state, multistate, and path-integral reweighting; connects to transition path sampling; discusses non-equilibrium force reweighting and integration with collective-variable optimisation.","Comprehensive review of dynamical reweighting theory for rare event molecular simulations; provides unified framework spanning kinetic models, path integrals, and non-equilibrium settings (Annual Review of Physical Chemistry, 2024).","Physical chemistry / molecular simulation domain — entirely unrelated to machine learning or multimodal classification. The reweighting here refers to statistical mechanics, not loss/sample weighting in neural network training.",Minimal direct relevance; included as contextual background for the general concept of 'dynamical reweighting' across scientific domains. The notion of correcting for distributional bias via reweighting is philosophically analogous to focal loss and class-imbalance reweighting in your system.,"Keller B.G., Bolhuis P.G. (2024). Dynamical Reweighting for Biased Rare Event Simulations. Annual Review of Physical Chemistry, 75:137–162. DOI: 10.1146/annurev-physchem-083122-124538."
16,Family Space Dynamic Reweighting for Malware Classification (FSDR),"Zisen Qi, Binbin Li, Tianning Zang, Xingbang Tan",FSDR estimates the 'spanned space' (feature-space coverage) of each malware family by treating samples as identically distributed random variables and analysing their correlations. A non-parametric formula derives a weighting scheme inversely proportional to family spanned space; weights adapt as features evolve during training. Applied on Malimg and MaleVis datasets.,Introduces spanned-space as a better proxy for class representation than sample count alone; dynamic reweighting outperforms static class-frequency weighting for long-tailed malware classification; demonstrates code-available reproducibility.,"Unimodal image classification task (malware visualisation); dynamic reweighting is class-level (family-level), not sample-level or modality-level; no cross-modal interaction or adversarial content considerations.",Provides supplementary motivation for dynamic class reweighting in imbalanced settings; parallels the use of focal loss with class-imbalance handling in your pipeline for the hateful (minority) vs. benign (majority) meme distribution.,"Qi Z., Li B., Zang T., Tan X. (2024). Family Space Dynamic Reweighting for Malware Classification. Institute of Information Engineering, Chinese Academy of Sciences, IEEE."
17,Multimodal Dynamics: Dynamical Fusion for Trustworthy Multimodal Classification,"Zongbo Han, Fan Yang, Junzhou Huang, Changqing Zhang, Jianhua Yao",Proposes Multimodal Dynamics: sparse gating captures within-modality feature informativeness; true class probability measures modality-level classification confidence; a transparent fusion algorithm integrates modalities based on dynamically estimated informativeness. Designed for safety-critical applications (medical multiomics). CVPR 2022.,First work to jointly model both feature-level and modality-level informativeness variation for trustworthy multimodal classification; improves both accuracy and trustworthiness (stability + explainability) on medical multimodal datasets over SOTA.,"Medical multiomics domain; trustworthiness is framed around feature-noise and missing-modality scenarios in clinical data, not adversarial image-text mismatch; class probability-based confidence requires reliable per-modality classifiers which may not exist in zero-shot CLIP settings.","The sparse gating over modality-level confidence directly inspired the auxiliary head design in your model (img_aux_head, txt_aux_head) — their softmax entropy feeds into the gating network as uncertainty signals, extending this paper's confidence-based informativeness to your uncertainty-aware alpha computation.","Han Z., Yang F., Huang J., Zhang C., Yao J. (2022). Multimodal Dynamics: Dynamical Fusion for Trustworthy Multimodal Classification. CVPR 2022, IEEE. Tianjin University / Tencent AI Lab."
18,Learning to Optimize Multi-Objective Alignment Through Dynamic Reward Weighting,"Yining Lu, Zilong Wang, Shiyang Li, Xin Liu, Changlong Yu, Qingyu Yin, Zhan Shi, Zixuan Zhang, Meng Jiang","Introduces dynamic reward weighting for multi-objective online RL alignment of LLMs. Two approaches: (1) hypervolume-guided weight adaptation that maximises objective space coverage; (2) gradient-based weight optimisation. Continuously adjusts reward weights during training to explore Pareto fronts, avoiding fixed-weight linear scalarisation failures.","Addresses the theoretical failure of fixed-weight linear scalarisation for non-convex Pareto fronts; achieves Pareto-dominant solutions with fewer training steps on multiple LLM alignment benchmarks; compatible with PPO, GRPO and other RL algorithms (TACL 2026).","LLM alignment via RL; dynamic weighting is over reward objectives (accuracy vs. length vs. clarity), not over input modalities in a fusion system; no relevance to multimodal hate detection.",The principle of dynamically weighting multiple training objectives parallels your compound loss (focal + R-Drop + aux + SupCon + entropy + diversity) — each term is a 'reward signal' whose weight is manually set but could be dynamically tuned using gradient-based methods like those proposed here.,"Lu Y., Wang Z., Li S., Liu X., Yu C., Yin Q., Shi Z., Zhang Z., Jiang M. (2026). Learning to Optimize Multi-Objective Alignment Through Dynamic Reward Weighting. TACL 2026. University of Notre Dame / Amazon."
19,Long-Tailed Image Recognition with Dynamic Re-Weighting (DRHT),"Xinyuan Li, Yu Wang, Jien Kato",Proposes Dynamic Re-Weighting (DR) where category weights follow a progress-relevant schedule: weight first increases then decreases proportionally to how many samples have been seen per category. Combines with Head-to-Tail (HT) loss that gradually transfers model attention from head to tail categories. Validated on long-tailed CIFAR and ImageNet.,Demonstrates that progress-relevant (non-monotonic) dynamic weighting outperforms both static reweighting and monotonic inverse-frequency weighting; improves tail accuracy without sacrificing head accuracy; generic weight assignment compatible with any long-tail loss function.,"Unimodal image classification; class-level reweighting for long-tailed distributions, not modality-level or cross-modal reweighting; progress-relevant schedule assumes clear head/tail distinction, which does not map directly to binary hate/benign classification.",Conceptually supports the use of dynamic (focal) loss weighting rather than static class weights for the imbalanced Hateful Memes dataset; the idea of gradually shifting model focus motivates curriculum learning (curriculum.py) from easy to hard adversarial samples.,"Li X., Wang Y., Kato J. (2023). Long-Tailed Image Recognition with Dynamic Re-Weighting. ICASSP 2023, IEEE. Ritsumeikan University / Hitotsubashi University."
20,MixFEAN: Enhancing Multi-Object Tracking for Intelligent Sports Analysis through Conditional Feature Mixing and Dynamic Re-weighting,"Zhihao Zhang, Chen Zhang, Wenyue Liu, Wan Ahmad Munsif Bin Wan Pa, Nur Shakila Binti Mazalan","MixFEAN combines: (1) FcMixup — feature-level conditional mixing of the most similar feature representations to improve model adaptability; (2) Feature Decoupling Re-weighting Module (FDRM) that dynamically adjusts feature map weights to focus on key targets. Applied to multi-object tracking in sports (LSP, SportsMOT datasets).",Improves MOT accuracy by 1.1% on LSP and significantly on SportsMOT; demonstrates that embedding-space MixUp enhances robustness to motion variability; FDRM dynamic re-weighting improves anti-jamming capability in complex sports environments.,"Multi-object tracking in video; MixUp is applied between visually similar features (nearest-neighbour mixing), not between semantically incongruent modalities; no text modality or adversarial semantic content.","FcMixup directly motivates the feature-level MixUp implemented in your _dynamic_step: mixing CLIP embeddings (img_feat, txt_feat) in embedding space after extraction, before fusion — the same principle of operating in feature space rather than input space to preserve semantics.","Zhang Z., Zhang C., Liu W., Wan Pa W.A.M., Mazalan N.S. (2024). MixFEAN: Enhancing Multi-Object Tracking for Intelligent Sports Analysis through Conditional Feature Mixing and Dynamic Re-weighting. National University of Malaysia, IEEE."
21,Multimodal Dual Cross-Attention Fusion Strategy for Autonomous Garbage Classification System (MDCF),"Huxiu Xu, Wei Tang, Zhaoyang Li, Kecheng Qin, Jun Zou",MDCF fuses image and impact-sound modalities using dual cross-attention that captures both intramodal and intermodal relationships. Deployed in a physical garbage classification device. Accounts for homogeneity limitations between image and audio by using bidirectional cross-attention.,"Proposes dual (bidirectional) cross-attention for multimodal fusion; achieves high recognition rate with low processing time on a self-built multimodal garbage dataset; demonstrates industrial-grade deployment in a physical classification system (IEEE Transactions on Industrial Informatics, 2024).","Image + audio fusion for physical object classification; dual cross-attention is bidirectional but does not include dynamic scalar gating between modalities; no text modality, no adversarial semantic incongruence between modalities.",Bidirectional cross-attention design validates your CrossModalAttentionV2 which applies cross-attention in both directions (image attending to text features and vice versa); confirms that capturing intermodal relationships via attention outperforms simple concatenation.,"Xu H., Tang W., Li Z., Qin K., Zou J. (2024). Multimodal Dual Cross-Attention Fusion Strategy for Autonomous Garbage Classification System. IEEE Transactions on Industrial Informatics, Vol. 20, No. 11. DOI: 10.1109/TII.2024.3435508."
22,Multimodal Emotion Analysis Based on Multi-Scale Feature Fusion and Cross-Modal Attention: Architecture Comparison and Feature Extractor Optimization,Siyuan Xu,"Proposes a framework integrating multi-scale features (hierarchical feature extraction at multiple depths) with cross-modal attention for multimodal emotion/sentiment analysis. Systematically compares 5 fusion architectures (CMAC, OTE, HSTEC, NaiveCat, NaiveCombine) and multiple feature extractors (InceptionV3, WideResNet50, MobileNetV2, ResNet50/101, BERT/RoBERTa). CMAC framework uses adaptive weight allocation.",Provides comprehensive empirical benchmark of fusion architectures and extractors for multimodal sentiment analysis; identifies BERT+WideResNet50 as optimal balance; confirms CMAC with adaptive weight allocation significantly outperforms naive fusion; validates channel attention for text feature extraction (ICAITA 2025).,"Sentiment analysis domain; multi-scale extraction is evaluated at different ResNet/InceptionV3 layers, not CLIP ViT layers; adaptive weight allocation in CMAC is architecture-level, not a per-sample learned scalar gating with uncertainty signals.","Directly motivates the multi-scale CLIP feature extraction improvement suggested in your literature survey (extracting from layers -4, -2, -1 of ViT); confirms that adaptive weight allocation improves over static fusion baselines, supporting the core thesis of your dynamic vs. static model comparison.","Xu S. (2025). Multimodal Emotion Analysis Based on Multi-Scale Feature Fusion and Cross-Modal Attention: Architecture Comparison and Feature Extractor Optimization. Communication University of China, ICAITA 2025."
