id,text_static,prob_hateful_static,predicted_label_static,confidence_static,dominant_modality_static,alpha_mean_static,text_dynamic,prob_hateful_dynamic,predicted_label_dynamic,confidence_dynamic,dominant_modality_dynamic,alpha_mean_dynamic,label_changed,prob_delta,conf_delta
1936,we said we would never forget why are you voting them into our governement?,0.9526,1,0.9526,image,0.5041,we said we would never forget why are you voting them into our governement?,0.8526,1,0.8526,image,0.8598,False,-0.09999999999999998,-0.09999999999999998
1937,"when you find a shooter the same day you plan a bombing, so you team up",0.5837,1,0.5837,image,0.5041,"when you find a shooter the same day you plan a bombing, so you team up",0.9823,1,0.9823,text,0.4704,False,0.39859999999999995,0.39859999999999995
2356,if i was arrested what do u think i got arrested 4?,0.0664,0,0.9336,image,0.5041,if i was arrested what do u think i got arrested 4?,0.9095,1,0.9095,text,0.3937,True,0.8431,-0.02410000000000001
2416,how do you piss off a female archeologist? give her a used tampon and ask her what period it comes from,0.0921,0,0.9079,image,0.5041,how do you piss off a female archeologist? give her a used tampon and ask her what period it comes from,0.75,1,0.75,image,0.6449,True,0.6579,-0.15790000000000004
2514,"if they're in a relationship, who makes the sandwiches?",0.0183,0,0.9817,image,0.5041,"if they're in a relationship, who makes the sandwiches?",0.0245,0,0.9755,image,0.9304,False,0.006200000000000001,-0.006199999999999983
2584,imagine being so disugsting there have to be laws to try to stop normal people from hating you,0.8389,1,0.8389,image,0.5041,imagine being so disugsting there have to be laws to try to stop normal people from hating you,0.9638,1,0.9638,image,0.786,False,0.12490000000000001,0.12490000000000001
2649,and that was the last nativity play my son was invited to take part in,0.0541,0,0.9459,image,0.5041,and that was the last nativity play my son was invited to take part in,0.0359,0,0.9641,image,0.9249,False,-0.0182,0.018199999999999994
2751,just admit it white america was better,0.012,0,0.988,image,0.5041,just admit it white america was better,0.0738,0,0.9262,image,0.9175,False,0.06180000000000001,-0.061799999999999966
2789,when you got a warrant out for your arrest & you on the run.....,0.0129,0,0.9871,image,0.5041,when you got a warrant out for your arrest & you on the run.....,0.0437,0,0.9563,image,0.6552,False,0.0308,-0.03079999999999994
2846,the before image that not many people have seen,0.0083,0,0.9917,image,0.5041,the before image that not many people have seen,0.0185,0,0.9815,image,0.8601,False,0.010199999999999999,-0.010199999999999987
3146,this is inhuman the operation takes only a couple of seconds to perform but its image remains for years,0.8812,1,0.8812,image,0.5041,this is inhuman the operation takes only a couple of seconds to perform but its image remains for years,0.9669,1,0.9669,image,0.6312,False,0.0857,0.0857
3164,party tonight? i'm down,0.0041,0,0.9959,image,0.5041,party tonight? i'm down,0.0026,0,0.9974,image,0.9554,False,-0.0015000000000000005,0.0014999999999999458
3267,that feeling when you finish your homework in record time and have extra time to chill,0.079,0,0.921,image,0.5041,that feeling when you finish your homework in record time and have extra time to chill,0.0761,0,0.9239,image,0.8024,False,-0.0029,0.0029000000000000137
3624,just a traditional muslim man with a beard,0.0158,0,0.9842,image,0.5041,just a traditional muslim man with a beard,0.0357,0,0.9643,image,0.9207,False,0.0199,-0.019899999999999918
3765,american kids all across american storefronts!!! freeway off n on ramps!!! street corners!!! begging for $$$ for the're alcohol!!! n drugs!!!,0.0545,0,0.9455,image,0.5041,american kids all across american storefronts!!! freeway off n on ramps!!! street corners!!! begging for $$$ for the're alcohol!!! n drugs!!!,0.0637,0,0.9363,image,0.9359,False,0.009200000000000007,-0.009199999999999986
3869,a mother's love for the child is a divine thing,0.0027,0,0.9973,image,0.5041,a mother's love for the child is a divine thing,0.0029,0,0.9971,image,0.9456,False,0.00019999999999999966,-0.00019999999999997797
3924,three k's a day keeps the minorities away,0.94,1,0.94,image,0.5041,three k's a day keeps the minorities away,0.6225,1,0.6225,image,0.8103,False,-0.3174999999999999,-0.3174999999999999
3968,when you're watching the #roots remake but you're in an interracial relationship,0.0337,0,0.9663,image,0.5041,when you're watching the #roots remake but you're in an interracial relationship,0.1558,0,0.8442,image,0.8794,False,0.12209999999999999,-0.1221000000000001
3976,"warning ""every"" country that has become involved in muslim immigration has eventually become an islamic state, and don't the fate of your country will be any different islam is a cancer for which there is no cure",0.9882,1,0.9882,image,0.5041,"warning ""every"" country that has become involved in muslim immigration has eventually become an islamic state, and don't the fate of your country will be any different islam is a cancer for which there is no cure",0.9728,1,0.9728,image,0.8415,False,-0.01539999999999997,-0.01539999999999997
3987,the newest hate group the dumb stupid klan,0.3474,0,0.6526,image,0.5041,the newest hate group the dumb stupid klan,0.5796,1,0.5796,image,0.6641,True,0.23220000000000002,-0.07299999999999995
4127,here we go again. us paralympics team refuses to stand during st.,0.0593,0,0.9407,image,0.5041,here we go again. us paralympics team refuses to stand during st.,0.0231,0,0.9769,image,0.9199,False,-0.036199999999999996,0.03620000000000001
4135,there's only one race the human race and that thing on the right? that's a monkey in human clothes,0.4732,0,0.5268,image,0.5041,there's only one race the human race and that thing on the right? that's a monkey in human clothes,0.2998,0,0.7002,image,0.7625,False,-0.1734,0.1734
4239,when you fart in crowd and  try to look normal,0.0035,0,0.9965,image,0.5041,when you fart in crowd and  try to look normal,0.035,0,0.965,image,0.7017,False,0.0315,-0.031500000000000083
4265,farming simulator 1800,0.1055,0,0.8945,image,0.5041,farming simulator 1800,0.8289,1,0.8289,text,0.4824,True,0.7233999999999999,-0.06559999999999999
4319,"sometimes, you have to water your farm equipment so it doesn't overheat",0.8566,1,0.8566,image,0.5041,"sometimes, you have to water your farm equipment so it doesn't overheat",0.921,1,0.921,text,0.3431,False,0.06440000000000001,0.06440000000000001
4536,"he's not a great debater, he's not a smooth talking politician, he's not part of the establishment, but he is a true american patriot! we cannot sit back and watch them destroy this man who is trying to help us ! he can clean up america and they know it !",0.0017,0,0.9983,image,0.5041,"he's not a great debater, he's not a smooth talking politician, he's not part of the establishment, but he is a true american patriot! we cannot sit back and watch them destroy this man who is trying to help us ! he can clean up america and they know it !",0.0019,0,0.9981,image,0.9655,False,0.0002000000000000001,-0.00019999999999997797
4563,"yeah, we know ""no president has done what i have done.""",0.0033,0,0.9967,image,0.5041,"yeah, we know ""no president has done what i have done.""",0.0081,0,0.9919,image,0.9563,False,0.0048,-0.0048000000000000265
4582,this has no place on american soil,0.0243,0,0.9757,image,0.5041,this has no place on american soil,0.0651,0,0.9349,image,0.9251,False,0.0408,-0.04080000000000006
4583,mom won't let me use the oven with my jewish friends,0.9915,1,0.9915,image,0.5041,mom won't let me use the oven with my jewish friends,0.9629,1,0.9629,image,0.7657,False,-0.02860000000000007,-0.02860000000000007
4615,it's the religion of peace. join exclusive islam!,0.0169,0,0.9831,image,0.5041,it's the religion of peace. join exclusive islam!,0.0237,0,0.9763,image,0.9111,False,0.0068000000000000005,-0.006800000000000028
4716,"makeup artist $4,000 / month personal stylist $15,000 / week i can't tell the difference",0.0016,0,0.9984,image,0.5041,"makeup artist $4,000 / month personal stylist $15,000 / week i can't tell the difference",0.0025,0,0.9975,image,0.9523,False,0.0009,-0.0008999999999999009
4879,i hear a funny joke about dishwashers,0.4352,0,0.5648,image,0.5041,i hear a funny joke about dishwashers,0.3959,0,0.6041,image,0.8474,False,-0.0393,0.0393
4958,how i see black people getting trolled on the internet,0.9585,1,0.9585,image,0.5041,how i see black people getting trolled on the internet,0.9188,1,0.9188,text,0.4752,False,-0.03970000000000007,-0.03970000000000007
5162,went down on a muslim bitch her pussy was the bomb!,0.9984,1,0.9984,image,0.5041,went down on a muslim bitch her pussy was the bomb!,0.997,1,0.997,text,0.4651,False,-0.0013999999999999568,-0.0013999999999999568
5174,when you start burning calories instead of people,0.0039,0,0.9961,image,0.5041,when you start burning calories instead of people,0.01,0,0.99,image,0.8481,False,0.0061,-0.006099999999999994
5218,things i love to pull behind my trunck,0.0034,0,0.9966,image,0.5041,things i love to pull behind my trunck,0.006,0,0.994,image,0.9484,False,0.0026000000000000003,-0.0026000000000000467
5219,just admit it. white america was better,0.051,0,0.949,image,0.5041,just admit it. white america was better,0.432,0,0.568,text,0.4882,False,0.381,-0.381
5379,i'd like the porn in my room to be disabled we only have regular porn you sick bastard,0.0066,0,0.9934,image,0.5041,i'd like the porn in my room to be disabled we only have regular porn you sick bastard,0.0072,0,0.9928,image,0.9575,False,0.0005999999999999998,-0.0005999999999999339
5389,this pizza is so disgusting if you take it to italv you'll get arrested,0.0036,0,0.9964,image,0.5041,this pizza is so disgusting if you take it to italv you'll get arrested,0.0143,0,0.9857,image,0.8963,False,0.010700000000000001,-0.010699999999999932
5429,claims that her ancestors created a safe space for jews these are her ancestors,0.5976,1,0.5976,image,0.5041,claims that her ancestors created a safe space for jews these are her ancestors,0.2808,0,0.7192,image,0.8542,True,-0.3168,0.12159999999999993
5438,didn't get bought today success!,0.0035,0,0.9965,image,0.5041,didn't get bought today success!,0.0077,0,0.9923,image,0.9325,False,0.004200000000000001,-0.0042000000000000925
5461,"me, an air force intellectual watching some marines get into a bar fight with some thai tranny hookers",0.9613,1,0.9613,image,0.5041,"me, an air force intellectual watching some marines get into a bar fight with some thai tranny hookers",0.9828,1,0.9828,image,0.916,False,0.021499999999999964,0.021499999999999964
5462,i'm not racist i hate white liberals more than anybody,0.7764,1,0.7764,image,0.5041,i'm not racist i hate white liberals more than anybody,0.714,1,0.714,image,0.938,False,-0.06240000000000001,-0.06240000000000001
5734,this man single handedly saved this animal from poachers,0.8361,1,0.8361,image,0.5041,this man single handedly saved this animal from poachers,0.6987,1,0.6987,image,0.7845,False,-0.13739999999999997,-0.13739999999999997
5791,"mohammed i'm pregnant.... don't sass me, you know it's funny! ~cupcakes",0.9937,1,0.9937,image,0.5041,"mohammed i'm pregnant.... don't sass me, you know it's funny! ~cupcakes",0.9896,1,0.9896,image,0.6303,False,-0.0040999999999999925,-0.0040999999999999925
5792,when you just realize that you forgot to take the cake out of the oven,0.0141,0,0.9859,image,0.5041,when you just realize that you forgot to take the cake out of the oven,0.0115,0,0.9885,image,0.9477,False,-0.0026,0.0026000000000000467
5846,our insurance,0.8131,1,0.8131,image,0.5041,our insurance,0.875,1,0.875,text,0.4536,False,0.061899999999999955,0.061899999999999955
5864,trust me... ...they're re all terrorists,0.206,0,0.794,image,0.5041,trust me... ...they're re all terrorists,0.0378,0,0.9622,image,0.8757,False,-0.1682,0.16820000000000002
5879,me watching the pride parade,0.0065,0,0.9935,image,0.5041,me watching the pride parade,0.0261,0,0.9739,image,0.9341,False,0.019600000000000003,-0.019600000000000062
5968,what would you do if i got pregnant,0.0153,0,0.9847,image,0.5041,what would you do if i got pregnant,0.0823,0,0.9177,image,0.8889,False,0.067,-0.06700000000000006
5978,i think it is safe now challenge accepted,0.0159,0,0.9841,image,0.5041,i think it is safe now challenge accepted,0.0345,0,0.9655,image,0.8018,False,0.018600000000000002,-0.01859999999999995
6135,everyone should take care of their skin,0.0012,0,0.9988,image,0.5041,everyone should take care of their skin,0.0014,0,0.9986,image,0.96,False,0.0002000000000000001,-0.00019999999999997797
6195,what do i do when my dishwasher stops? i should get back to scrubbing,0.0054,0,0.9946,image,0.5041,what do i do when my dishwasher stops? i should get back to scrubbing,0.0085,0,0.9915,image,0.9561,False,0.0031000000000000003,-0.0030999999999999917
6231,do i need to dig up hitler to show you how to use an oven,0.9961,1,0.9961,image,0.5041,do i need to dig up hitler to show you how to use an oven,0.9929,1,0.9929,image,0.7694,False,-0.0031999999999999806,-0.0031999999999999806
6243,(laughs in goat fucker),0.992,1,0.992,image,0.5041,(laughs in goat fucker),0.9916,1,0.9916,text,0.3431,False,-0.00039999999999995595,-0.00039999999999995595
6329,president condemned capital punishment,0.0063,0,0.9937,image,0.5041,president condemned capital punishment,0.0113,0,0.9887,image,0.765,False,0.004999999999999999,-0.0050000000000000044
6348,the look you give when your husband would rather fuck a goat then you,0.9925,1,0.9925,image,0.5041,the look you give when your husband would rather fuck a goat then you,0.9796,1,0.9796,image,0.6782,False,-0.012900000000000023,-0.012900000000000023
6387,when your leader is killed by a drone and you get to fuck his herd of goats,0.0229,0,0.9771,image,0.5041,when your leader is killed by a drone and you get to fuck his herd of goats,0.1126,0,0.8874,image,0.8924,False,0.0897,-0.0897
6427,little girls are the devil,0.0086,0,0.9914,image,0.5041,little girls are the devil,0.0201,0,0.9799,image,0.9402,False,0.0115,-0.011499999999999955
6524,how black women fight crime,0.011,0,0.989,image,0.5041,how black women fight crime,0.0321,0,0.9679,image,0.9183,False,0.021099999999999997,-0.021100000000000008
6593,dss,0.0168,0,0.9832,image,0.5041,dss,0.0092,0,0.9908,image,0.9472,False,-0.007599999999999999,0.007600000000000051
6752,"the amish reject modern society without strapping explosives children proof that you can be completely devoted to your religion wear beards, dress modestly and reject modern society without strapping explosives to children",0.9514,1,0.9514,image,0.5041,"the amish reject modern society without strapping explosives children proof that you can be completely devoted to your religion wear beards, dress modestly and reject modern society without strapping explosives to children",0.9768,1,0.9768,image,0.6155,False,0.025399999999999978,0.025399999999999978
6927,this is me not having any white guilt,0.2007,0,0.7993,image,0.5041,this is me not having any white guilt,0.6811,1,0.6811,image,0.6105,True,0.48040000000000005,-0.11819999999999997
6931,the newest hate group the dumb stupid klan,0.0763,0,0.9237,image,0.5041,the newest hate group the dumb stupid klan,0.0793,0,0.9207,image,0.7348,False,0.002999999999999989,-0.0030000000000000027
7193,things i love to hunt,0.0052,0,0.9948,image,0.5041,things i love to hunt,0.004,0,0.996,image,0.9201,False,-0.0011999999999999997,0.0011999999999999789
7265,muslim terror attacks are more frequent white terror attacks are more efficient,0.0574,0,0.9426,image,0.5041,muslim terror attacks are more frequent white terror attacks are more efficient,0.9141,1,0.9141,image,0.9303,True,0.8567,-0.02849999999999997
7291,it's a piece of cake if she's not awake,0.006,0,0.994,image,0.5041,it's a piece of cake if she's not awake,0.0064,0,0.9936,image,0.8384,False,0.0004000000000000002,-0.00039999999999995595
7314,spending alot of time with your pets,0.0031,0,0.9969,image,0.5041,spending alot of time with your pets,0.0049,0,0.9951,image,0.9536,False,0.0018,-0.0018000000000000238
7392,once you go black ur a single mom!,0.9801,1,0.9801,image,0.5041,once you go black ur a single mom!,0.9806,1,0.9806,text,0.4629,False,0.000500000000000056,0.000500000000000056
7396,this project is tough but it will save the world,0.0152,0,0.9848,image,0.5041,this project is tough but it will save the world,0.007,0,0.993,image,0.8709,False,-0.008199999999999999,0.008199999999999985
7451,actors costumed in the full regalia of the kkk,0.0104,0,0.9896,image,0.5041,actors costumed in the full regalia of the kkk,0.0092,0,0.9908,image,0.8774,False,-0.0011999999999999997,0.0011999999999999789
7516,teacher: alright class take out your calculators mohammed:,0.965,1,0.965,image,0.5041,teacher: alright class take out your calculators mohammed:,0.9324,1,0.9324,image,0.7128,False,-0.03259999999999996,-0.03259999999999996
7521,turns out out they were expecting something very different went gay clubbing with some friends,0.0336,0,0.9664,image,0.5041,turns out out they were expecting something very different went gay clubbing with some friends,0.0377,0,0.9623,image,0.8518,False,0.0040999999999999995,-0.0040999999999999925
7596,the face you make when one of those damn apes cancels your show,0.0069,0,0.9931,image,0.5041,the face you make when one of those damn apes cancels your show,0.0329,0,0.9671,image,0.9427,False,0.026,-0.026000000000000023
7612,"what is that wonderful smell? it smells like... caramel! oh, today we burnt the diabetics",0.9902,1,0.9902,image,0.5041,"what is that wonderful smell? it smells like... caramel! oh, today we burnt the diabetics",0.9896,1,0.9896,image,0.5908,False,-0.0005999999999999339,-0.0005999999999999339
7645,dem rep calls trump supporters 'just plain dumb' & 'racist' in letter on house floor.. what's your response?,0.0006,0,0.9994,image,0.5041,dem rep calls trump supporters 'just plain dumb' & 'racist' in letter on house floor.. what's your response?,0.0014,0,0.9986,image,0.9586,False,0.0008,-0.0007999999999999119
7652,ban the burka you must be fucking joking,0.0079,0,0.9921,image,0.5041,ban the burka you must be fucking joking,0.0165,0,0.9835,image,0.8658,False,0.0086,-0.008599999999999941
7658,i was asked who my favourite x-men character was apparently my answer was inappropriate,0.0011,0,0.9989,image,0.5041,i was asked who my favourite x-men character was apparently my answer was inappropriate,0.0014,0,0.9986,image,0.9652,False,0.0002999999999999999,-0.00029999999999996696
7689,man: i'd like to trade her in for newer one,0.0073,0,0.9927,image,0.5041,man: i'd like to trade her in for newer one,0.0234,0,0.9766,image,0.9242,False,0.0161,-0.016100000000000003
7694,if i had a gone i could convert this fruit to vegetable,0.4381,0,0.5619,image,0.5041,if i had a gone i could convert this fruit to vegetable,0.5749,1,0.5749,image,0.5457,True,0.13679999999999998,0.013000000000000012
7915,they're just like eggs better when beaten well,0.007,0,0.993,image,0.5041,they're just like eggs better when beaten well,0.0117,0,0.9883,image,0.9564,False,0.0047,-0.0047000000000000375
8261,life is like belgium some times you just have to march through it,0.0049,0,0.9951,image,0.5041,life is like belgium some times you just have to march through it,0.0204,0,0.9796,image,0.8171,False,0.015500000000000002,-0.015499999999999958
8294,"what are you doing there? you're a cat, not a jew",0.0439,0,0.9561,image,0.5041,"what are you doing there? you're a cat, not a jew",0.0314,0,0.9686,image,0.9516,False,-0.012500000000000004,0.012500000000000067
8376,debris from todays tornadoes ..oops nevermind... that's just a picture from the snake pit at the indy 500,0.0101,0,0.9899,image,0.5041,debris from todays tornadoes ..oops nevermind... that's just a picture from the snake pit at the indy 500,0.0047,0,0.9953,image,0.8615,False,-0.005399999999999999,0.00539999999999996
8524,yellow black red and normal,0.0191,0,0.9809,image,0.5041,yellow black red and normal,0.0162,0,0.9838,image,0.8663,False,-0.0029,0.0029000000000000137
8541,when your test comes back and you got a 47 out of 46,0.0053,0,0.9947,image,0.5041,when your test comes back and you got a 47 out of 46,0.014,0,0.986,image,0.9316,False,0.0087,-0.008700000000000041
8567,"to see better, asians sometime switch to fullscreen veiw",0.0569,0,0.9431,image,0.5041,"to see better, asians sometime switch to fullscreen veiw",0.1646,0,0.8354,image,0.7021,False,0.10769999999999999,-0.10770000000000002
8653,a smile to bring joy in anyone's day,0.0016,0,0.9984,image,0.5041,a smile to bring joy in anyone's day,0.0034,0,0.9966,image,0.8656,False,0.0017999999999999997,-0.0017999999999999128
8674,burning things that don't mean anything to you,0.0046,0,0.9954,image,0.5041,burning things that don't mean anything to you,0.0049,0,0.9951,image,0.9456,False,0.0002999999999999999,-0.00029999999999996696
8691,"if he dies in the movie ""toy story"" all the toys have to watch as the children play with their dead friend's lifeless body",0.0028,0,0.9972,image,0.5041,"if he dies in the movie ""toy story"" all the toys have to watch as the children play with their dead friend's lifeless body",0.0092,0,0.9908,image,0.9588,False,0.0063999999999999994,-0.006399999999999961
8716,for decades bruce fondled her this just in caitlyn jenner claims,0.0046,0,0.9954,image,0.5041,for decades bruce fondled her this just in caitlyn jenner claims,0.0035,0,0.9965,image,0.9383,False,-0.0010999999999999998,0.001100000000000101
8917,"what are you doing there? you're a cat, not a jew",0.8889,1,0.8889,image,0.5041,"what are you doing there? you're a cat, not a jew",0.8434,1,0.8434,image,0.8917,False,-0.045499999999999985,-0.045499999999999985
9241,the dishwasher was making a funny sound but i fixed it,0.0105,0,0.9895,image,0.5041,the dishwasher was making a funny sound but i fixed it,0.0197,0,0.9803,image,0.8345,False,0.009199999999999998,-0.009200000000000097
9357,"when you fart next to the jewish kid, and realize you just gassed the jews",0.9815,1,0.9815,image,0.5041,"when you fart next to the jewish kid, and realize you just gassed the jews",0.9898,1,0.9898,image,0.9073,False,0.008299999999999974,0.008299999999999974
9426,"they might not be liking your pics, but i bet they're reading your comments and keeping track of who you respond to",0.0031,0,0.9969,image,0.5041,"they might not be liking your pics, but i bet they're reading your comments and keeping track of who you respond to",0.0125,0,0.9875,image,0.958,False,0.0094,-0.009399999999999964
9513,goats are friends not food,0.022,0,0.978,image,0.5041,goats are friends not food,0.0106,0,0.9894,image,0.8247,False,-0.011399999999999999,0.011399999999999966
9516,and that's why i gas people,0.0051,0,0.9949,image,0.5041,and that's why i gas people,0.0098,0,0.9902,image,0.9412,False,0.004699999999999999,-0.0047000000000000375
9638,thanksgiving in china,0.1853,0,0.8147,image,0.5041,thanksgiving in china,0.113,0,0.887,image,0.7182,False,-0.07229999999999999,0.07230000000000003
9675,omfg its a dirty mexican,0.593,1,0.593,image,0.5041,omfg its a dirty mexican,0.0333,0,0.9667,image,0.9418,True,-0.5597,0.37370000000000003
9687,rare picture of child birth,0.0039,0,0.9961,image,0.5041,rare picture of child birth,0.0242,0,0.9758,image,0.7798,False,0.0203,-0.020299999999999985
9723,half honky all donkey,0.2422,0,0.7578,image,0.5041,half honky all donkey,0.2056,0,0.7944,image,0.9076,False,-0.036599999999999994,0.036599999999999966
10234,when you've decided to start a life of crime,0.0046,0,0.9954,image,0.5041,when you've decided to start a life of crime,0.0043,0,0.9957,image,0.9454,False,-0.0002999999999999999,0.000300000000000078
10274,(laughs in goat fucker),0.0025,0,0.9975,image,0.5041,(laughs in goat fucker),0.0059,0,0.9941,image,0.9432,False,0.0034,-0.0034000000000000696
10287,found bigfoot married her,0.0095,0,0.9905,image,0.5041,found bigfoot married her,0.0128,0,0.9872,image,0.9149,False,0.003300000000000001,-0.0033000000000000806
10396,once a place where innocents were murdered. now a historical site for people to learn,0.0224,0,0.9776,image,0.5041,once a place where innocents were murdered. now a historical site for people to learn,0.007,0,0.993,image,0.9047,False,-0.0154,0.01539999999999997
10462,back in my day there were only two genders male and not male,0.9865,1,0.9865,image,0.5041,back in my day there were only two genders male and not male,0.9909,1,0.9909,image,0.6948,False,0.0043999999999999595,0.0043999999999999595
10475,refugees welcome,0.6817,1,0.6817,image,0.5041,refugees welcome,0.3114,0,0.6886,image,0.9322,True,-0.37029999999999996,0.006900000000000017
10476,how to fix a noisy dishwasher,0.967,1,0.967,image,0.5041,how to fix a noisy dishwasher,0.9521,1,0.9521,image,0.8051,False,-0.014900000000000024,-0.014900000000000024
10482,american asians how to prepare the dog for the family event,0.0667,0,0.9333,image,0.5041,american asians how to prepare the dog for the family event,0.7085,1,0.7085,image,0.6026,True,0.6418,-0.2248
10548,farming simulator 17,0.5535,1,0.5535,image,0.5041,farming simulator 17,0.8448,1,0.8448,text,0.495,False,0.2913,0.2913
10564,white people when they learn fish swim in schools,0.9019,1,0.9019,image,0.5041,white people when they learn fish swim in schools,0.9022,1,0.9022,image,0.757,False,0.00029999999999996696,0.00029999999999996696
10649,straight outta oven,0.9729,1,0.9729,image,0.5041,straight outta oven,0.9305,1,0.9305,text,0.4036,False,-0.04239999999999999,-0.04239999999999999
10652,"him: have you seen my cat lately? her: nope, have you seen your dad lately?",0.0517,0,0.9483,image,0.5041,"him: have you seen my cat lately? her: nope, have you seen your dad lately?",0.1453,0,0.8547,image,0.9097,False,0.09360000000000002,-0.09360000000000002
10748,can afford to travel from romania to london still picks your pocket,0.0659,0,0.9341,image,0.5041,can afford to travel from romania to london still picks your pocket,0.5097,1,0.5097,image,0.6956,True,0.44380000000000003,-0.4244
10865,this movie sucks i am thinking of another shooting,0.0092,0,0.9908,image,0.5041,this movie sucks i am thinking of another shooting,0.0085,0,0.9915,image,0.9122,False,-0.0006999999999999992,0.0007000000000000339
10938,international boxing day,0.0227,0,0.9773,image,0.5041,international boxing day,0.0421,0,0.9579,image,0.8886,False,0.019399999999999997,-0.019399999999999973
10956,check out these legs i bet you did nazi that coming,0.9898,1,0.9898,image,0.5041,check out these legs i bet you did nazi that coming,0.9019,1,0.9019,image,0.8496,False,-0.08789999999999998,-0.08789999999999998
10963,hope on a rope it's what everyone's been waiting for,0.002,0,0.998,image,0.5041,hope on a rope it's what everyone's been waiting for,0.0033,0,0.9967,image,0.9065,False,0.0013,-0.0012999999999999678
10967,@unhumanrights,0.6932,1,0.6932,image,0.5041,@unhumanrights,0.8551,1,0.8551,image,0.5865,False,0.16189999999999993,0.16189999999999993
12536,turning every country it touches into a shithole,0.9777,1,0.9777,image,0.5041,turning every country it touches into a shithole,0.9423,1,0.9423,image,0.6466,False,-0.03539999999999999,-0.03539999999999999
12589,"the religion of the muslims, a monotheistic faith regarded as revealed through muhammad as the prophet of allah",0.9671,1,0.9671,image,0.5041,"the religion of the muslims, a monotheistic faith regarded as revealed through muhammad as the prophet of allah",0.3333,0,0.6667,image,0.9042,True,-0.6337999999999999,-0.3004
12643,shia men after getting an erection,0.0524,0,0.9476,image,0.5041,shia men after getting an erection,0.2286,0,0.7714,image,0.8511,False,0.1762,-0.17620000000000002
12678,did you really think i was going to let the patriots lose,0.0061,0,0.9939,image,0.5041,did you really think i was going to let the patriots lose,0.0052,0,0.9948,image,0.939,False,-0.0009000000000000006,0.0009000000000000119
12785,found this old photo of our grand parents on their quad,0.2958,0,0.7042,image,0.5041,found this old photo of our grand parents on their quad,0.0515,0,0.9485,image,0.7635,False,-0.24430000000000002,0.24429999999999996
13058,knives out,0.012,0,0.988,image,0.5041,knives out,0.0036,0,0.9964,image,0.9064,False,-0.008400000000000001,0.008399999999999963
13069,replaced by misunderstood girlfriend doesn't get jealous,0.1695,0,0.8305,image,0.5041,replaced by misunderstood girlfriend doesn't get jealous,0.0508,0,0.9492,image,0.9208,False,-0.11870000000000001,0.11870000000000003
13074,when your dive instructor starts yelling in arabic,0.3109,0,0.6891,image,0.5041,when your dive instructor starts yelling in arabic,0.0361,0,0.9639,image,0.9171,False,-0.2748,0.27479999999999993
13285,hope on a rope it's what everyone's been waiting for!,0.0024,0,0.9976,image,0.5041,hope on a rope it's what everyone's been waiting for!,0.0021,0,0.9979,image,0.9529,False,-0.0002999999999999999,0.00029999999999996696
13297,the original derp face,0.0024,0,0.9976,image,0.5041,the original derp face,0.0039,0,0.9961,image,0.9497,False,0.0015,-0.0015000000000000568
13407,if you want good life for your children kill them all,0.9888,1,0.9888,image,0.5041,if you want good life for your children kill them all,0.9462,1,0.9462,image,0.8309,False,-0.04259999999999997,-0.04259999999999997
